ID	Population	Site	Depth	Est_K	P1	P2	P3	P4	group	relatedness	mean_IBD_length.kb	N50_IBD_Length.kb	Mean_IBD_goodness	cluster	year	eff_k
PH0539-C	West_Cambodia	Pursat	16.22	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2011	1
PH0540-C	West_Cambodia	Pursat	18.79	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2011	1
PH0541-C	West_Cambodia	Pursat	30.34	1	0.99	0	0.01	0	Asia1	NA	NA	NA	NA	NA	2011	1.020199959192
PH0542-C	West_Cambodia	Pursat	36.09	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2011	1
PH0543-C	West_Cambodia	Pursat	8.26	1	0.99	0	0	0	Asia1	NA	NA	NA	NA	NA	2011	1.02030405060708
PH0544-C	West_Cambodia	Pursat	18.44	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2011	1
PH0545-C	West_Cambodia	Pursat	54.69	3	0	0.16	0.76	0.08	Asia1	0.709878192296196	371.99676146789	1052.586	0.796164084106131	HighSib	2011	1.64041994750656
PH0546-C	West_Cambodia	Pursat	12.73	2	0.36	0	0.64	0	Asia1	0.587313900041955	414.00037037037	980.212	0.918721380493306	Sib	2011	1.85459940652819
PH0547-C	West_Cambodia	Pursat	42.87	3	0.16	0.16	0.68	0	Asia1	0.37027210661888	136.943581560284	536.103	0.108788987515757	Sib	2011	1.94704049844237
PH0548-C	West_Cambodia	Pursat	53.35	2	0.77	0	0.23	0	Asia1	0.601380873662186	266.033945945946	616.849	0.924901930572029	Sib	2011	1.54846701765252
PH0549-C	West_Cambodia	Pursat	81.37	3	0.58	0.15	0	0.27	Asia1	0.81414203650178	393.6556	685.499	0.893823269888329	HighSib	2011	2.31588698471515
PH0551-C	West_Cambodia	Pursat	76	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2011	1
PH0552-C	West_Cambodia	Pursat	58.79	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2011	1
PH0553-C	West_Cambodia	Pursat	85.18	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2011	1
PH0554-C	West_Cambodia	Pursat	79.59	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2011	1
PH0555-C	West_Cambodia	Pursat	74.73	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2011	1
PH0556-C	West_Cambodia	Pursat	76.71	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2011	1
PH0557-C	West_Cambodia	Pursat	81.08	3	0.01	0.38	0.51	0.1	Asia1	0.818079738458452	512.604086956522	1047.371	0.894596921186591	HighSib	2011	2.41196333815726
PH0558-C	West_Cambodia	Pursat	73.61	1	1	0	0	0	Asia1	NA	NA	NA	NA	HighSib	2011	1
PH0559-C	West_Cambodia	Pursat	77.46	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2011	1
PH0560-C	West_Cambodia	Pursat	77.49	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2011	1
PH0561-C	West_Cambodia	Pursat	82.61	1	0.98	0.01	0.01	0.01	Asia1	NA	NA	NA	NA	NA	2011	1.04090767148954
PH0562-C	West_Cambodia	Pursat	63.5	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2011	1
PH0563-C	West_Cambodia	Pursat	77.95	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2011	1
PH0564-C	West_Cambodia	Pursat	54.89	2	0.72	0	0.28	0	Asia1	0.793173969066056	416.709666666667	640.565	0.948976635365486	HighSib	2011	1.67560321715818
PH0565-C	West_Cambodia	Pursat	71.44	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2011	1
PH0566-C	West_Cambodia	Pursat	30.67	1	0.99	0	0	0.01	Asia1	NA	NA	NA	NA	NA	2011	1.020199959192
PH0568-C	West_Cambodia	Pursat	60	2	0.76	0.24	0	0	Asia1	0.837510405294554	522.665047619048	941.093	0.973243328356894	HighSib	2011	1.57430730478589
PH0569-C	West_Cambodia	Pursat	52.2	1	1	0	0	0	Asia1	NA	NA	NA	NA	HighSib	2011	1
PH0570-C	West_Cambodia	Pursat	56.37	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2011	1
PH0571-C	West_Cambodia	Pursat	77.78	1	1	0	0	0	Asia1	NA	NA	NA	NA	NA	2011	1
PH0572-C	West_Cambodia	Pursat	82.43	3	0.15	0.16	0.69	0	Asia1	0.72601450479023	285.257744	761.329	0.644471370694446	HighSib	2011	1.90766882869134
PH0573-C	West_Cambodia	Pursat	82.37	2	0.88	0	0.12	0	Asia1	0.648626684829715	285.121205882353	700.625	0.894994859822063	Sib	2011	1.26774847870183
